,0
0,Alabama
1,Alaska
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Georgia
8,Idaho
9,Illinois
10,Indiana
11,Iowa
12,Kansas
13,Kentucky
14,Louisiana
15,Maine
16,Maryland
17,Massachusetts
18,Michigan
19,Minnesota
20,Mississippi
21,Missouri
22,Montana
23,Nebraska
24,Nevada
25,New Hampshire
26,New Jersey
27,New Mexico
28,North Carolina
29,North Dakota
30,Ohio
31,Oklahoma
32,Oregon
33,Pennsylvania
34,Rhode Island
35,South Dakota
36,Tennessee
37,Vermont
38,Virginia
39,West Virginia
40,Wisconsin
41,Wyoming
